Date,quarter - year,Ticker,diferencia_cierre_vs_apertura,nombre_holding,activity_act,activity_porc,Operacion_insider,resultado_operacion_insider,insider_rating,ebitda,netIncome,eps_surprise
25-08-2020,Q3 2020,AAPL,-3.278007507324247,BRK,0,0.037,0,-24.0,1.0,18237000000.0,12673000000.0,0.03
02-10-2020,Q4 2020,AAPL,-2.9534378051757812,BRK,0,0.0605,0,-34.0,1.0,36883000000.0,28755000000.0,0.26
02-10-2020,Q4 2020,AAPL,-2.9534378051757812,HC,1,1.0,0,-34.0,1.0,36883000000.0,28755000000.0,0.26
09-10-2020,Q4 2020,AAPL,-1.501190185546875,BRK,0,0.0605,0,-69.0,1.0,36883000000.0,28755000000.0,0.26
09-10-2020,Q4 2020,AAPL,-1.501190185546875,HC,1,1.0,0,-69.0,1.0,36883000000.0,28755000000.0,0.26
16-10-2020,Q4 2020,AAPL,-5.507118225097656,BRK,0,0.0605,0,-19.0,1.0,36883000000.0,28755000000.0,0.26
16-10-2020,Q4 2020,AAPL,-5.507118225097656,HC,1,1.0,0,-19.0,1.0,36883000000.0,28755000000.0,0.26
16-10-2020,Q4 2020,AAPL,-5.507118225097656,BRK,0,0.0605,0,-36.0,1.0,36883000000.0,28755000000.0,0.26
16-10-2020,Q4 2020,AAPL,-5.507118225097656,HC,1,1.0,0,-36.0,1.0,36883000000.0,28755000000.0,0.26
03-11-2020,Q4 2020,AAPL,-2.233062744140611,BRK,0,0.0605,0,-5.0,1.0,36883000000.0,28755000000.0,0.26
03-11-2020,Q4 2020,AAPL,-2.233062744140611,HC,1,1.0,0,-5.0,1.0,36883000000.0,28755000000.0,0.26
01-02-2022,Q1 2022,AAPL,-2.8218231201171875,BRK,1,0.0043,0,0.0,1.0,33567000000.0,25010000000.0,0.09
03-02-2022,Q1 2022,AAPL,-4.968353271484375,BRK,1,0.0043,0,-6.0,1.0,33567000000.0,25010000000.0,0.09
04-04-2022,Q2 2022,AAPL,0.595977783203125,BRK,1,0.0044,0,-18.0,1.0,26590000000.0,19442000000.0,0.05
04-04-2022,Q2 2022,AAPL,0.595977783203125,BRK,1,0.0044,0,-18.0,1.0,26590000000.0,19442000000.0,0.05
18-04-2022,Q2 2022,AAPL,-1.878662109375,BRK,1,0.0044,0,-6.0,1.0,26590000000.0,19442000000.0,0.05
04-05-2022,Q2 2022,AAPL,3.303863525390625,BRK,1,0.0044,0,-5.0,1.0,26590000000.0,19442000000.0,0.05
03-08-2022,Q3 2022,AAPL,2.481475830078125,FS,1,1.0,0,-6.0,1.0,28349000000.0,20721000000.0,0.02
17-08-2022,Q3 2022,AAPL,-0.93255615234375,FS,1,1.0,0,-47.0,1.0,28349000000.0,20721000000.0,0.02
17-08-2022,Q3 2022,AAPL,-0.93255615234375,FS,1,1.0,0,-47.0,1.0,28349000000.0,20721000000.0,0.02
